gene,gene_name,gene_type,chr,start,end,strand,length
ENSG00000006283.13,CACNA1G,protein_coding,chr17,48638429,48704835,+,9709
ENSG00000006327.9,TNFRSF12A,protein_coding,chr16,3068446,3072384,+,1848
ENSG00000006377.9,DLX6,protein_coding,chr7,96634860,96640351,+,3449
ENSG00000006432.11,MAP3K9,protein_coding,chr14,71189243,71276251,-,12386
ENSG00000006451.3,RALA,protein_coding,chr7,39663082,39747723,+,3665
ENSG00000006453.9,BAIAP2L1,protein_coding,chr7,97920963,98030380,-,4798
ENSG00000006459.6,JHDM1D,protein_coding,chr7,139784546,139876835,-,9430
ENSG00000006468.9,ETV1,protein_coding,chr7,13930853,14031050,-,9686
ENSG00000006530.11,AGK,protein_coding,chr7,141250989,141355044,+,6547
ENSG00000006534.11,ALDH3B1,protein_coding,chr11,67776048,67796744,+,6621
ENSG00000006555.6,TTC22,protein_coding,chr1,55245385,55266940,-,6055
ENSG00000006576.12,PHTF2,protein_coding,chr7,77428122,77586818,+,8631
ENSG00000006606.4,CCL26,protein_coding,chr7,75398851,75419214,-,706
ENSG00000006607.9,FARP2,protein_coding,chr2,242295658,242434256,+,14413
ENSG00000006611.11,USH1C,protein_coding,chr11,17515442,17565963,-,4187
ENSG00000006625.13,GGCT,protein_coding,chr7,30536237,30591095,-,1905
ENSG00000006634.3,DBF4,protein_coding,chr7,87505531,87538856,+,4583
ENSG00000006638.7,TBXA2R,protein_coding,chr19,3594504,3606838,-,2793
ENSG00000006652.9,IFRD1,protein_coding,chr7,112063023,112121072,+,6481
ENSG00000006659.8,LGALS14,protein_coding,chr19,40194946,40200084,+,1079
ENSG00000006695.6,COX10,protein_coding,chr17,13972813,14111994,+,3172
ENSG00000006704.6,GTF2IRD1,protein_coding,chr7,73868120,74016931,+,6498
ENSG00000006712.10,PAF1,protein_coding,chr19,39876492,39881835,-,2668
ENSG00000006715.11,VPS41,protein_coding,chr7,38762563,38971994,-,7801
ENSG00000006740.12,ARHGAP44,protein_coding,chr17,12692856,12894960,+,9281
ENSG00000006744.14,ELAC2,protein_coding,chr17,12895708,12921504,-,6345
ENSG00000006747.10,SCIN,protein_coding,chr7,12610203,12693228,+,5048
ENSG00000006756.11,ARSD,protein_coding,chrX,2822011,2847392,-,7030
ENSG00000006757.7,PNPLA4,protein_coding,chrX,7866288,7895780,-,3441
ENSG00000006788.8,MYH13,protein_coding,chr17,10201401,10276447,-,6347
ENSG00000006831.9,ADIPOR2,protein_coding,chr12,1797740,1897844,+,5878
ENSG00000006837.7,CDKL3,protein_coding,chr5,133541305,133706738,-,3681
ENSG00000007001.8,UPP2,protein_coding,chr2,158733214,158992666,+,2957
ENSG00000007038.6,PRSS21,protein_coding,chr16,2867164,2876305,+,1984
ENSG00000007047.10,MARK4,protein_coding,chr19,45582546,45808541,+,6668
ENSG00000007062.7,PROM1,protein_coding,chr4,15964699,16086001,-,7465
ENSG00000007080.6,CCDC124,protein_coding,chr19,18043825,18054800,+,1660
ENSG00000007129.13,CEACAM21,protein_coding,chr19,42055886,42093197,+,1926
ENSG00000007168.8,PAFAH1B1,protein_coding,chr17,2496504,2588909,+,8127
ENSG00000007171.12,NOS2,protein_coding,chr17,26083792,26127525,-,4176
ENSG00000007174.13,DNAH9,protein_coding,chr17,11501748,11873065,+,16980
ENSG00000007202.10,KIAA0100,protein_coding,chr17,26941458,26972472,-,9235
ENSG00000007216.10,SLC13A2,protein_coding,chr17,26800311,26824799,+,3226
ENSG00000007237.14,GAS7,protein_coding,chr17,9813926,10101868,-,10100
ENSG00000007255.6,TRAPPC6A,protein_coding,chr19,45666186,45681495,-,933
ENSG00000007264.9,MATK,protein_coding,chr19,3777971,3802127,-,4138
ENSG00000007306.10,CEACAM7,protein_coding,chr19,42177235,42210895,-,2649
ENSG00000007312.8,CD79B,protein_coding,chr17,62006100,62009714,-,2080
ENSG00000007314.7,SCN4A,protein_coding,chr17,62015914,62050278,-,8247
ENSG00000007341.14,ST7L,protein_coding,chr1,113066140,113163447,-,8111
ENSG00000007350.12,TKTL1,protein_coding,chrX,153524024,153558700,+,3650
ENSG00000007372.16,PAX6,protein_coding,chr11,31806340,31839509,-,14776
ENSG00000007376.3,RPUSD1,protein_coding,chr16,834974,838397,-,2769
ENSG00000007384.11,RHBDF1,protein_coding,chr16,108058,126354,-,5104
ENSG00000007392.12,LUC7L,protein_coding,chr16,238968,279462,-,6176
ENSG00000007402.7,CACNA2D2,protein_coding,chr3,50400233,50541675,-,6319
ENSG00000007516.9,BAIAP3,protein_coding,chr16,1383602,1399439,+,6143
ENSG00000007520.3,TSR3,protein_coding,chr16,1399241,1401912,-,1243
ENSG00000007541.10,PIGQ,protein_coding,chr16,616995,634136,+,6869
ENSG00000007545.11,CRAMP1L,protein_coding,chr16,1662326,1727909,+,8427
ENSG00000007866.14,TEAD3,protein_coding,chr6,35441374,35464853,-,3046
ENSG00000007908.11,SELE,protein_coding,chr1,169691781,169733846,-,4586
ENSG00000007923.11,DNAJC11,protein_coding,chr1,6694228,6761984,-,5147
ENSG00000007933.8,FMO3,protein_coding,chr1,171060018,171086959,+,3463
ENSG00000007944.10,MYLIP,protein_coding,chr6,16129356,16148479,+,3033
ENSG00000007952.13,NOX1,protein_coding,chrX,100098313,100129334,-,2529
ENSG00000007968.6,E2F2,protein_coding,chr1,23832922,23857712,-,5457
ENSG00000008018.8,PSMB1,protein_coding,chr6,170844205,170862429,-,2256
ENSG00000008056.8,SYN1,protein_coding,chrX,47431303,47479252,-,3203
ENSG00000008083.9,JARID2,protein_coding,chr6,15246527,15522252,+,6490
ENSG00000008086.6,CDKL5,protein_coding,chrX,18443703,18671749,+,3576
ENSG00000008118.5,CAMK1G,protein_coding,chr1,209757062,209787283,+,2676
ENSG00000008128.18,CDK11A,protein_coding,chr1,1634169,1655766,-,4707
ENSG00000008130.11,NADK,protein_coding,chr1,1682671,1711896,-,5637
ENSG00000008196.8,TFAP2B,protein_coding,chr6,50786436,50815326,+,6149
ENSG00000008197.4,TFAP2D,protein_coding,chr6,50681541,50740701,+,1856
ENSG00000008226.15,DLEC1,protein_coding,chr3,38080696,38165516,+,8338
ENSG00000008256.11,CYTH3,protein_coding,chr7,6201407,6312275,-,5805
ENSG00000008277.10,ADAM22,protein_coding,chr7,87563458,87832204,+,12217
ENSG00000008282.3,SYPL1,protein_coding,chr7,105730949,105753022,-,2794
ENSG00000008283.11,CYB561,protein_coding,chr17,61509665,61523739,-,5320
ENSG00000008294.16,SPAG9,protein_coding,chr17,49039535,49198226,-,11948
ENSG00000008300.10,CELSR3,protein_coding,chr3,48673902,48700348,-,13888
ENSG00000008311.10,AASS,protein_coding,chr7,121715701,121784334,-,4591
ENSG00000008323.11,PLEKHG6,protein_coding,chr12,6419602,6437672,+,4260
ENSG00000008324.6,SS18L2,protein_coding,chr3,42623332,42636606,+,1301
ENSG00000008382.11,MPND,protein_coding,chr19,4343524,4360083,+,2049
ENSG00000008394.8,MGST1,protein_coding,chr12,16500076,16762193,+,6213
ENSG00000008405.7,CRY1,protein_coding,chr12,107385142,107487607,-,5062
ENSG00000008438.4,PGLYRP1,protein_coding,chr19,46522411,46526323,-,720
ENSG00000008441.12,NFIX,protein_coding,chr19,13106422,13209610,+,6302
ENSG00000008513.10,ST3GAL1,protein_coding,chr8,134467091,134584183,-,8730
ENSG00000008516.12,MMP25,protein_coding,chr16,3096682,3110727,+,4126
ENSG00000008517.12,IL32,protein_coding,chr16,3115298,3131908,+,2924
ENSG00000008710.13,PKD1,protein_coding,chr16,2138711,2185899,-,18532
ENSG00000008735.10,MAPK8IP2,protein_coding,chr22,51039114,51052409,+,6107
ENSG00000008838.13,MED24,protein_coding,chr17,38175350,38217468,-,6962
ENSG00000008853.12,RHOBTB2,protein_coding,chr8,22844930,22877712,+,6580
ENSG00000008869.7,HEATR5B,protein_coding,chr2,37195526,37311485,-,8206
ENSG00000008952.12,SEC62,protein_coding,chr3,169684423,169716161,+,7928
ENSG00000008988.5,RPS20,protein_coding,chr8,56979854,56987069,-,2931
ENSG00000009307.11,CSDE1,protein_coding,chr1,115259534,115301297,-,5755
ENSG00000009335.13,UBE3C,protein_coding,chr7,156931607,157062066,+,9218
ENSG00000009413.11,REV3L,protein_coding,chr6,111620234,111804918,-,12417
ENSG00000009694.9,TENM1,protein_coding,chrX,123509753,124097666,-,12896
ENSG00000009709.7,PAX7,protein_coding,chr1,18957500,19075360,+,6313
ENSG00000009724.12,MASP2,protein_coding,chr1,11086580,11107290,-,4251
ENSG00000009765.10,IYD,protein_coding,chr6,150690028,150727105,+,10362
ENSG00000009780.11,FAM76A,protein_coding,chr1,28052490,28089633,+,4034
ENSG00000009790.10,TRAF3IP3,protein_coding,chr1,209929377,209955668,+,7753
ENSG00000009830.7,POMT2,protein_coding,chr14,77741299,77787227,-,10012
ENSG00000009844.11,VTA1,protein_coding,chr6,142468367,142545826,+,7194
ENSG00000009950.11,MLXIPL,protein_coding,chr7,73007524,73038873,-,4815
ENSG00000009954.6,BAZ1B,protein_coding,chr7,72854728,72936608,-,7053
ENSG00000010017.9,RANBP9,protein_coding,chr6,13621730,13711796,-,3480
ENSG00000010030.9,ETV7,protein_coding,chr6,36322419,36356164,-,2369
ENSG00000010072.11,SPRTN,protein_coding,chr1,231472850,231490769,+,5906
ENSG00000010165.15,METTL13,protein_coding,chr1,171750788,171783163,+,3843
ENSG00000010219.9,DYRK4,protein_coding,chr12,4671370,4723325,+,5911
ENSG00000010244.12,ZNF207,protein_coding,chr17,30677136,30708905,+,15834
ENSG00000010256.6,UQCRC1,protein_coding,chr3,48636435,48648409,-,3236
ENSG00000010270.9,STARD3NL,protein_coding,chr7,38217824,38270272,+,4348
ENSG00000010278.7,CD9,protein_coding,chr12,6308881,6347425,+,3218
ENSG00000010282.10,HHATL,protein_coding,chr3,42734155,42744319,-,2891
ENSG00000010292.8,NCAPD2,protein_coding,chr12,6602522,6641121,+,6487
ENSG00000010295.15,IFFO1,protein_coding,chr12,6647541,6665239,-,5193
ENSG00000010310.4,GIPR,protein_coding,chr19,46171502,46186982,+,4736
ENSG00000010318.15,PHF7,protein_coding,chr3,52444673,52457657,+,3367
ENSG00000010319.2,SEMA3G,protein_coding,chr3,52467069,52479101,-,5011
ENSG00000010322.11,NISCH,protein_coding,chr3,52489134,52527087,+,9161
ENSG00000010327.6,STAB1,protein_coding,chr3,52529354,52558511,+,10588
ENSG00000010361.9,FUZ,protein_coding,chr19,50310126,50320633,-,2951
ENSG00000010379.11,SLC6A13,protein_coding,chr12,329789,372039,-,4241
ENSG00000010404.13,IDS,protein_coding,chrX,148558521,148615470,-,10496
ENSG00000010438.12,PRSS3,protein_coding,chr9,33750515,33799230,+,1614
ENSG00000010539.7,ZNF200,protein_coding,chr16,3272325,3286221,-,7498
ENSG00000010610.5,CD4,protein_coding,chr12,6896024,6929974,+,4583
ENSG00000010626.10,LRRC23,protein_coding,chr12,6982733,7023407,+,3054
ENSG00000010671.11,BTK,protein_coding,chrX,100604435,100641183,-,4227
ENSG00000010704.14,HFE,protein_coding,chr6,26087509,26098571,+,5675
ENSG00000010803.12,SCMH1,protein_coding,chr1,41492872,41707826,-,4447
ENSG00000010810.13,FYN,protein_coding,chr6,111981535,112194655,-,7411
ENSG00000010818.4,HIVEP2,protein_coding,chr6,143072604,143266338,-,9774
ENSG00000010932.11,FMO1,protein_coding,chr1,171217638,171255117,+,3574
ENSG00000011007.8,TCEB3,protein_coding,chr1,24069645,24088549,+,5391
ENSG00000011009.6,LYPLA2,protein_coding,chr1,24117460,24122029,+,2196
ENSG00000011021.17,CLCN6,protein_coding,chr1,11866207,11903201,+,6884
ENSG00000011028.9,MRC2,protein_coding,chr17,60704762,60770958,+,6860
ENSG00000011052.17,NME2,protein_coding,chr17,49230951,49249105,+,1241
ENSG00000011083.4,SLC6A7,protein_coding,chr5,149569520,149602351,+,4391
ENSG00000011105.7,TSPAN9,protein_coding,chr12,3186521,3395730,+,5714
ENSG00000011114.10,BTBD7,protein_coding,chr14,93703896,93799438,-,11333
ENSG00000011132.7,APBA3,protein_coding,chr19,3750817,3761697,-,5556
ENSG00000011143.12,MKS1,protein_coding,chr17,56282803,56296966,-,4073
ENSG00000011198.3,ABHD5,protein_coding,chr3,43731605,43775863,+,3172
ENSG00000011201.6,KAL1,protein_coding,chrX,8496915,8700227,-,7131
ENSG00000011243.13,AKAP8L,protein_coding,chr19,15490859,15529952,-,5081
ENSG00000011258.11,MBTD1,protein_coding,chr17,49254786,49337524,-,7201
ENSG00000011260.9,UTP18,protein_coding,chr17,49337889,49375297,+,2721
ENSG00000011275.14,RNF216,protein_coding,chr7,5659678,5821370,-,7619
ENSG00000011295.11,TTC19,protein_coding,chr17,15902694,15948329,+,5966
ENSG00000011304.12,PTBP1,protein_coding,chr19,797075,812327,+,6969
ENSG00000011332.15,DPF1,protein_coding,chr19,38701646,38720354,-,4800
ENSG00000011347.5,SYT7,protein_coding,chr11,61282785,61348620,-,5953
ENSG00000011376.5,LARS2,protein_coding,chr3,45429998,45590913,+,5393
ENSG00000011405.9,PIK3C2A,protein_coding,chr11,17099277,17229530,-,9204
ENSG00000011422.7,PLAUR,protein_coding,chr19,44150247,44174699,-,4457
ENSG00000011426.6,ANLN,protein_coding,chr7,36429415,36493400,+,6012
ENSG00000011451.13,WIZ,protein_coding,chr19,15532319,15560762,-,8155
ENSG00000011454.12,RABGAP1,protein_coding,chr9,125703112,125867145,+,8181
ENSG00000011465.12,DCN,protein_coding,chr12,91539025,91576900,-,8083
ENSG00000011478.7,QPCTL,protein_coding,chr19,46195741,46207247,+,2396
ENSG00000011485.10,PPP5C,protein_coding,chr19,46850251,46896238,+,7059
ENSG00000011523.9,CEP68,protein_coding,chr2,65283500,65314138,+,8623
ENSG00000011566.10,MAP4K3,protein_coding,chr2,39476407,39664453,-,6067
ENSG00000011590.9,ZBTB32,protein_coding,chr19,36195429,36207940,+,2770
ENSG00000011600.7,TYROBP,protein_coding,chr19,36395303,36399197,-,907
ENSG00000011638.6,TMEM159,protein_coding,chr16,21169698,21191937,+,2558
ENSG00000011677.8,GABRA3,protein_coding,chrX,151334706,151619830,-,4193
ENSG00000012048.15,BRCA1,protein_coding,chr17,41196312,41277500,-,8278
ENSG00000012061.11,ERCC1,protein_coding,chr19,45910591,45982086,-,5576
ENSG00000012124.10,CD22,protein_coding,chr19,35810164,35838258,+,5839
ENSG00000012171.13,SEMA3B,processed_transcript,chr3,50304990,50314977,+,5767
ENSG00000012174.7,MBTPS2,protein_coding,chrX,21857754,21903542,+,8927
ENSG00000012211.8,PRICKLE3,protein_coding,chrX,49031151,49042845,-,3396
ENSG00000012223.8,LTF,protein_coding,chr3,46477136,46526724,-,4247
ENSG00000012232.4,EXTL3,protein_coding,chr8,28457986,28613116,+,13220
ENSG00000012504.9,NR1H4,protein_coding,chr12,100867486,100958191,+,3460
ENSG00000012660.9,ELOVL5,protein_coding,chr6,53132196,53213947,-,4223
ENSG00000012779.6,ALOX5,protein_coding,chr10,45869661,45941561,+,3685
ENSG00000012817.11,KDM5D,protein_coding,chrY,21865751,21906825,-,9463
ENSG00000012822.11,CALCOCO1,protein_coding,chr12,54104903,54121529,-,6296
ENSG00000012963.9,UBR7,protein_coding,chr14,93673401,93695561,+,3694
ENSG00000012983.7,MAP4K5,protein_coding,chr14,50885219,51027844,-,7620
ENSG00000013016.10,EHD3,protein_coding,chr2,31456880,31492313,+,4959
ENSG00000013275.3,PSMC4,protein_coding,chr19,40476912,40487348,+,2387
ENSG00000013288.4,MAN2B2,protein_coding,chr4,6576902,6625089,+,8898
ENSG00000013293.5,SLC7A14,protein_coding,chr3,170177372,170303863,-,10459
ENSG00000013297.6,CLDN11,protein_coding,chr3,170136653,170578169,+,6032
ENSG00000013306.11,SLC25A39,protein_coding,chr17,42396993,42402238,-,3526
ENSG00000013364.14,MVP,protein_coding,chr16,29831715,29859355,+,6136
ENSG00000013374.11,NUB1,protein_coding,chr7,151038785,151075535,+,5411
ENSG00000013375.11,PGM3,protein_coding,chr6,83870869,83903655,-,7331
ENSG00000013392.6,RWDD2A,protein_coding,chr6,83903098,83908651,+,4686
ENSG00000013441.11,CLK1,protein_coding,chr2,201717732,201729422,-,5125
ENSG00000013503.5,POLR3B,protein_coding,chr12,106751436,106903976,+,4858
ENSG00000013523.5,ANGEL1,protein_coding,chr14,77253588,77292589,-,5347
ENSG00000013561.13,RNF14,protein_coding,chr5,141337893,141369856,+,4834
ENSG00000013563.9,DNASE1L1,protein_coding,chrX,153629579,153640449,-,4130
ENSG00000013573.12,DDX11,protein_coding,chr12,31226779,31257725,+,8374
ENSG00000013583.4,HEBP1,protein_coding,chr12,13127798,13153207,-,3442
ENSG00000013588.5,GPRC5A,protein_coding,chr12,13043716,13070871,+,8440
ENSG00000013619.9,MAMLD1,protein_coding,chrX,149529689,149682448,+,5958
ENSG00000013725.10,CD6,protein_coding,chr11,60739115,60787849,+,5995
ENSG00000013810.14,TACC3,protein_coding,chr4,1723227,1746898,+,4682
ENSG00000014123.9,UFL1,protein_coding,chr6,96969471,97003152,+,4539
